City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
81,Longyearbyen,SJ,12/20/21 2:52,78.2186,15.6401,24.64,74,75,8.05
82,Butaritari,KI,12/20/21 2:52,3.0707,172.7902,82.15,74,95,15.61
83,Komsomolskiy,UZ,12/20/21 2:52,40.4272,71.7189,38.62,70,75,6.91
84,Ushibuka,JP,12/20/21 2:52,32.1906,130.0228,52.41,56,91,4.18
85,Teahupoo,PF,12/20/21 2:52,-17.8333,-149.2667,76.96,73,44,13.65
86,Chiredzi,ZW,12/20/21 2:52,-21.05,31.6667,66.9,74,100,2.93
87,Hilo,US,12/20/21 2:51,19.7297,-155.09,74.12,46,90,0
88,Verkh-Suetka,RU,12/20/21 2:52,53.3,80.05,29.46,94,100,12.77
89,Minuri,PH,12/20/21 2:52,16.535,121.8574,73.18,98,100,1.03
90,Kattivakkam,IN,12/20/21 2:52,13.2167,80.3167,75.29,87,30,10.54
91,Saint Anthony,US,12/20/21 2:52,45.0205,-93.218,30.88,71,90,5.01
92,Narsaq,GL,12/20/21 2:52,60.9167,-46.05,34.36,64,100,15.37
93,Labrea,BR,12/20/21 2:52,-7.2586,-64.7981,74.32,99,100,0.22
94,Kulu,TR,12/20/21 2:53,39.0951,33.0799,28.9,96,80,7.36
95,Rio Grande,BR,12/20/21 2:53,-32.035,-52.0986,69.94,81,0,16.87
96,Chetumal,MX,12/20/21 2:53,18.5,-88.3,76.57,87,4,7
97,Corrente,BR,12/20/21 2:53,-3.7367,-43.3394,74.39,90,99,1.36
98,Bambous Virieux,MU,12/20/21 2:52,-20.3428,57.7575,80.22,83,40,5.75
99,Mount Isa,AU,12/20/21 2:53,-20.7333,139.5,96.57,26,0,6.91
100,Praya,CV,12/20/21 2:53,14.9215,-23.5087,72.14,83,75,11.5
101,Ostrovnoy,RU,12/20/21 2:53,68.0531,39.5131,19.6,84,100,20.83
102,Hami,CN,12/20/21 2:53,42.8,93.45,26.08,46,0,0.51
103,Arraial Do Cabo,BR,12/20/21 2:47,-22.9661,-42.0278,72.16,79,54,9.69
104,Lavrentiya,RU,12/20/21 2:53,65.5833,-171,33.76,98,100,18.23
105,La Libertad,EC,12/20/21 2:53,-2.2333,-80.9,71.51,92,100,6.89
106,Poso,ID,12/20/21 2:50,-1.3959,120.7524,86.54,65,86,4.68
107,Nishihara,JP,12/20/21 2:53,26.1842,127.7558,66.25,52,40,0
108,Hervey Bay,AU,12/20/21 2:53,-25.2986,152.8535,89.04,59,89,7.47
109,Manyana,BW,12/20/21 2:53,-23.4,21.7167,68.29,73,87,9.95
110,Nikolskoye,RU,12/20/21 2:53,59.7035,30.7861,19.4,91,100,11.27
113,Tura,IN,12/20/21 2:53,25.5198,90.2201,64.67,50,0,0.94
114,Cap Malheureux,MU,12/20/21 2:53,-19.9842,57.6142,80.47,76,79,1.99
115,Quatre Cocos,MU,12/20/21 2:53,-20.2078,57.7625,80.1,75,55,4.83
116,Beira,MZ,12/20/21 2:53,-19.8436,34.8389,74.08,79,89,7.85
117,Norman Wells,CA,12/20/21 2:50,65.282,-126.8329,1.44,78,90,4.61
118,Faanui,PF,12/20/21 2:53,-16.4833,-151.75,80.26,76,26,9.89
121,Xining,CN,12/20/21 2:53,36.6167,101.7667,26.89,30,0,1.83
122,Puerto Quijarro,BO,12/20/21 2:53,-17.7833,-57.7667,75.47,93,95,1.83
123,Vostok,RU,12/20/21 2:53,46.4856,135.8833,9.63,86,99,3.33
124,Eyl,SO,12/20/21 2:53,7.9803,49.8164,75.49,81,54,15.93
125,Ribeira Grande,PT,12/20/21 2:50,38.5167,-28.7,60.58,58,100,35.19
126,Hobart,AU,12/20/21 2:53,-42.8794,147.3294,67.86,45,75,24.16
127,Lompoc,US,12/20/21 2:53,34.6391,-120.4579,51.12,85,20,1.01
128,Hasaki,JP,12/20/21 2:50,35.7333,140.8333,52.29,43,0,7.18
129,Jalu,LY,12/20/21 2:53,29.0331,21.5482,47.98,72,25,9.57
130,Hamilton,US,12/20/21 2:49,39.1834,-84.5333,35.04,82,90,3.44
131,Sao Filipe,CV,12/20/21 2:53,14.8961,-24.4956,73.02,80,100,7.43
133,Saint George,US,12/20/21 2:53,37.1041,-113.5841,40.32,59,1,1.01
134,Bredasdorp,ZA,12/20/21 2:53,-34.5322,20.0403,65.52,82,100,12.66
135,Genhe,CN,12/20/21 2:53,50.7833,121.5167,8.02,77,100,11.12
136,Juegang,CN,12/20/21 2:53,32.3174,121.1855,53.78,36,51,10.42
137,Tuatapere,NZ,12/20/21 2:53,-46.1333,167.6833,63.82,88,100,13.6
139,Cabo San Lucas,MX,12/20/21 2:50,22.8909,-109.9124,71.15,76,2,4.43
140,Isangel,VU,12/20/21 2:52,-19.55,169.2667,87.91,79,40,11.5
142,Nantucket,US,12/20/21 2:53,41.2835,-70.0995,37.51,67,90,25.32
143,The Valley,AI,12/20/21 2:53,18.217,-63.0578,78.66,72,97,21.34
144,Villamontes,BO,12/20/21 2:53,-21.25,-63.5,73.13,95,100,1.39
145,Phan Thiet,VN,12/20/21 2:53,10.9333,108.1,80.49,69,92,2.44
146,Lalmohan,BD,12/20/21 2:53,22.3384,90.7419,64.71,46,0,11.5
147,Key Largo,US,12/20/21 2:50,25.0865,-80.4473,75.97,80,3,5.95
149,Shimoda,JP,12/20/21 2:53,34.6667,138.95,51.1,58,65,1.36
150,Qaanaaq,GL,12/20/21 2:53,77.484,-69.3632,21.24,70,100,9.48
151,Sandwick,GB,12/20/21 2:53,60,-1.25,39.02,75,90,4.61
152,Morondava,MG,12/20/21 2:53,-20.2833,44.2833,77.94,73,72,1.57
