City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1659,Marang,MY,78.71,Clouds,5.2056,103.2059,DBarakah Homestay
1666,Dosso,NE,77.32,Clear,13.049,3.1937,Hotel Toubal
1668,Lumut,MY,77.36,Clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
1669,Puerto Leguizamo,CO,89.33,Clouds,-0.1934,-74.7819,la casona de juancho
1672,Trelew,AR,79.54,Clouds,-43.249,-65.3051,Hotel Touring Club
1675,Dzilam Gonzalez,MX,89.89,Clear,21.2833,-88.9333,posadas
1678,Ambon,ID,75.34,Clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
1686,Biltine,TD,75.81,Clear,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
1690,Higueron,MX,81.88,Clear,18.5833,-99.1667,HOTEL IMPERIAL JOJUTLA
1693,Tete,MZ,78.48,Rain,-16.1564,33.5867,Zambeze Paraíso Misterioso
1694,Nanga Eboko,CM,78.19,Clouds,4.6833,12.3667,Motel Papi Palace
1695,Dunmore Town,BS,77.76,Clear,25.5,-76.65,Coral Sands Hotel
1716,Maraa,BR,85.5,Clouds,-1.8333,-65.3667,
1718,Bernal,PE,85.48,Clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
1719,Bairiki,KI,78.8,Clouds,1.3292,172.9752,Tarawa Boutique Hotel
1723,Mtwara,TZ,81.52,Clouds,-10.2667,40.1833,TIL Hotels Mtwara
1725,Marovoay,MG,82.54,Clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
1726,Illapel,CL,77.95,Clear,-31.6308,-71.1653,Hotel Londres
1728,Comodoro Rivadavia,AR,76.86,Clouds,-45.8667,-67.5,Austral Hotel
1733,Healesville,AU,75.45,Clear,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
1735,Monrovia,LR,83.97,Clouds,6.3005,-10.7969,Sunset Inn
1736,Kita,ML,87.19,Clouds,13.0349,-9.4895,Hôtel Chat Rouge
1739,Laminusa,PH,81.46,Clouds,5.5549,120.9136,Laminusa Port
1746,Alto Araguaia,BR,80.46,Clouds,-17.3147,-53.2153,Araguaia Palace Hotel
1757,Tahoua,NE,80.58,Clear,14.8888,5.2692,Bungalows Guesthouse
1759,Indramayu,ID,80.82,Clouds,-6.3264,108.32,Grand Trisula Hotel
1762,Vaitape,PF,81.03,Clouds,-16.5167,-151.75,Conrad Bora Bora Nui
1765,Bodden Town,KY,86.0,Clouds,19.2833,-81.25,Will T Place
1767,Man,CI,86.85,Clouds,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
1771,Iracoubo,GF,80.22,Clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
1775,Ciudad Guayana,VE,86.52,Clouds,8.3533,-62.6528,Hotel Las Americas
1777,Lodwar,KE,85.66,Clouds,3.1191,35.5973,Solmar Gracious Hotel
1780,Maues,BR,80.29,Rain,-3.3836,-57.7186,Hotel Miramar
1783,Bhatkal,IN,80.64,Clouds,13.9667,74.5667,Nilawar Palace
1786,Wilmington,US,75.99,Clear,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
1787,Pindiga,NG,77.04,Clouds,9.9833,10.9333,Accommodation Center
1791,Savannah Bight,HN,86.05,Clear,16.45,-85.85,Villa on Dunbar Rock
1793,Banyo,CM,78.67,Clouds,6.75,11.8167,Motel JOMBA
1802,Cuajinicuilapa,MX,87.93,Clear,16.4667,-98.4167,Pozo S. XVI
1805,Eagle Pass,US,79.25,Clouds,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
1809,Jaguarao,BR,89.87,Clear,-32.5661,-53.3758,Hotel Rio's
1811,Aracataca,CO,85.78,Clouds,10.5918,-74.1898,Hostal de los buendia
1812,Point Pedro,LK,78.17,Clouds,9.8167,80.2333,Gtr homes
1817,Altamira,BR,78.89,Rain,-3.2033,-52.2064,Requinte Hotel
1828,Boda,CF,81.59,Clouds,4.3189,17.4695,
1833,Soyo,AO,80.65,Clouds,-6.1349,12.3689,Hotel Mpampa
1839,Mmabatho,ZA,80.56,Clouds,-25.85,25.6333,Mahikeng Guest Apartments
1842,Lakatoro,VU,82.02,Rain,-16.0999,167.4164,Lakatoro Palm Lodge
1844,Luwuk,ID,77.47,Clouds,-0.9516,122.7875,Hotel Santika Luwuk
1847,San Felipe,VE,86.27,Clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
1850,Itanhem,BR,84.16,Rain,-17.1664,-40.33,Hotel Resende
1854,Kuala Terengganu,MY,78.75,Clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
1858,Praya,CV,82.94,Clear,14.9215,-23.5087,LT Aparthotel
1859,Phangnga,TH,78.84,Clouds,8.4509,98.5298,Sunimit Mansion
1861,Cururupu,BR,80.58,Rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
1862,Nuevitas,CU,87.24,Clouds,21.5453,-77.2644,Hotel Caonaba
1863,Liku,ID,75.47,Clouds,-0.7275,119.8922,Wahyu
1868,Itarema,BR,86.13,Clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1874,Yei,SS,78.6,Clouds,4.095,30.6779,City Link Hotel
1877,Uarini,BR,87.75,Clouds,-2.99,-65.1083,
1880,Goundam,ML,78.51,Clear,16.4145,-3.6708,
1888,Jucas,BR,75.06,Clouds,-6.5253,-39.5275,Pousada e pizzaria Frogomercambar
1903,Coruripe,BR,83.68,Clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
1911,Nkhotakota,MW,79.48,Rain,-12.9274,34.2961,Sitima Inn
1912,Petatlan,MX,87.6,Clear,17.5167,-101.2667,Hotel California Petatlán
1913,Iturama,BR,84.22,Clouds,-19.7281,-50.1956,República DominaCana
1916,Kango,GA,76.77,Rain,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
1917,Panukulan,PH,77.11,Clouds,14.9333,121.8144,AC Lodging House
1920,Nachingwea,TZ,78.39,Clouds,-10.3833,38.7667,Makoga lodge
1929,Lira,UG,77.59,Rain,2.235,32.9097,ST Lira Hotel Limited
1938,Koungou,YT,82.11,Clear,-12.7336,45.2042,Villa Netibor
1942,Boca Do Acre,BR,87.91,Clouds,-8.7522,-67.3978,Hotel Sao Pedro
1944,Palauig,PH,76.66,Clouds,15.435,119.9045,Alperi Botique Resort
1949,Savelugu,GH,89.1,Clouds,9.6244,-0.8253,Yoo Naa's Palace
1953,Palmas,BR,80.47,Clouds,-10.2128,-48.3603,Hotel Lago da Palma
1963,Ende,ID,78.57,Clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
1965,Chiredzi,ZW,75.9,Clouds,-21.05,31.6667,Clevers Hotel Chiredzi
1966,Madimba,TZ,80.83,Clouds,-10.4,40.3333,
