City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Carinhanha,BR,-14.3047,-43.765,81.79,62,100,6.62,Clouds
72,Upernavik,GL,72.7868,-56.1549,-0.02,70,100,4.16,Clouds
73,Benjamin Hill,MX,30.1667,-111.1,54.21,97,100,10.89,Clouds
74,Banikoara,BJ,11.2985,2.4386,87.69,12,12,3.76,Clouds
75,Hualmay,PE,-11.0964,-77.6139,74.46,72,83,9.55,Clouds
76,Torbay,CA,47.6666,-52.7314,29.17,80,90,8.05,Clouds
77,Punta Arenas,CL,-53.15,-70.9167,51.91,46,75,33.38,Rain
78,Anshun,CN,26.25,105.9333,36.79,89,100,8.9,Clouds
79,Port Alfred,ZA,-33.5906,26.891,69.26,79,80,23.53,Clouds
80,Luanda,AO,-8.8368,13.2343,80.6,78,40,9.22,Clouds
81,Awbari,LY,26.5921,12.7805,58.82,55,0,11.03,Clear
82,East London,ZA,-33.0153,27.9116,70.74,68,75,14.97,Clouds
83,Naze,JP,28.3667,129.4833,54.88,58,84,12.06,Clouds
84,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,84,100,15.39,Rain
85,Bangui,CF,4.3612,18.555,93.38,31,51,2.3,Smoke
86,Asau,RO,46.4333,26.4,31.12,98,100,7.45,Clouds
87,Iqaluit,CA,63.7506,-68.5145,15.53,79,90,16.11,Snow
88,Dikson,RU,73.5069,80.5464,-9.56,96,100,5.46,Clouds
89,Petukhovo,RU,55.0692,67.9019,-4.09,95,72,5.37,Clouds
90,Khani,GE,41.9563,42.9566,33.37,80,93,6.53,Clouds
91,Provideniya,RU,64.3833,-173.3,-5.87,80,33,7.67,Clouds
92,Chokurdakh,RU,70.6333,147.9167,-24.75,97,100,0.65,Clouds
93,Khatanga,RU,71.9667,102.5,-38.85,97,50,8.39,Clouds
94,Halifax,CA,44.6453,-63.5724,39.25,93,100,2.3,Clouds
95,Boizenburg,DE,53.3833,10.7167,53.37,92,100,16.17,Clouds
96,Hasaki,JP,35.7333,140.8333,30.6,44,1,20.87,Clear
97,Qaanaaq,GL,77.484,-69.3632,-6.75,63,95,7.85,Clouds
98,Elban,RU,50.1018,136.5094,-7.73,97,100,4.29,Snow
99,Dhidhdhoo,MV,6.8833,73.1,82.04,75,89,10.98,Clouds
100,Hovd,MN,48.0056,91.6419,-3.59,78,16,4.34,Clouds
101,Mareeba,AU,-17.0,145.4333,68.72,93,11,2.64,Clouds
102,Kenai,US,60.5544,-151.2583,21.29,100,90,3.44,Snow
